Spp,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14
ISO.10,0.009765625,2.5,0.0390625,0.00244140625,0.625,0.15625,10,0.00244140625,0.0390625,0.009765625,2.5,0.15625,10,0.625
ISO.11,0.15625,10,0.625,0.009765625,2.5,0.0390625,0.00244140625,0.0390625,0.625,10,0.009765625,2.5,0.00244140625,0.15625
ISO.13,0.625,0.00244140625,0.0390625,0.15625,0.009765625,2.5,10,0.009765625,0.00244140625,10,0.15625,0.0390625,0.625,2.5
ISO.14,0.15625,10,0.009765625,2.5,0.625,0.00244140625,0.0390625,2.5,10,0.625,0.0390625,0.00244140625,0.15625,0.009765625
ISO.15,0.00244140625,10,0.625,2.5,0.009765625,0.0390625,0.15625,0.0390625,0.00244140625,2.5,0.15625,0.009765625,0.625,10
ISO.18,2.5,0.009765625,0.0390625,0.00244140625,10,0.15625,0.625,2.5,0.15625,0.009765625,0.00244140625,0.625,0.0390625,10
ISO.22,0.625,2.5,0.009765625,0.0390625,0.00244140625,10,0.15625,0.15625,0.625,2.5,10,0.009765625,0.00244140625,0.0390625
ISO.23,0.009765625,0.15625,0.00244140625,0.625,10,0.0390625,2.5,10,0.15625,0.625,0.0390625,0.009765625,0.00244140625,2.5
ISO.25,10,0.625,0.15625,0.0390625,0.009765625,0.00244140625,2.5,10,0.625,0.15625,0.0390625,0.00244140625,0.009765625,2.5
ISO.27,10,0.625,0.009765625,0.00244140625,0.15625,2.5,0.0390625,0.625,0.009765625,0.00244140625,10,0.0390625,0.15625,2.5
ISO.28a,0.625,0.15625,10,0.0390625,0.009765625,0.00244140625,2.5,2.5,0.0390625,0.625,0.15625,10,0.009765625,0.00244140625
ISO.29,0.00244140625,0.0390625,0.009765625,10,0.625,0.15625,2.5,0.625,2.5,0.00244140625,0.15625,0.0390625,0.009765625,10
ISO.35,2.5,0.00244140625,0.625,0.15625,0.0390625,0.009765625,10,0.15625,0.009765625,10,0.0390625,0.00244140625,2.5,0.625
ISO.41a,0.009765625,2.5,0.15625,0.625,0.0390625,0.00244140625,10,0.0390625,0.15625,10,0.625,0.009765625,2.5,0.00244140625
ISO.41b,0.009765625,0.00244140625,0.15625,2.5,0.625,10,0.0390625,10,0.009765625,0.15625,0.00244140625,2.5,0.0390625,0.625
ISO.53,0.00244140625,10,0.009765625,0.625,2.5,0.15625,0.0390625,0.625,0.009765625,0.00244140625,10,2.5,0.15625,0.0390625
ISO.55,10,0.009765625,0.625,0.0390625,0.15625,0.00244140625,2.5,0.0390625,2.5,0.15625,10,0.009765625,0.00244140625,0.625
ISO.59,2.5,0.625,0.15625,0.009765625,10,0.0390625,0.00244140625,0.15625,0.0390625,0.625,0.009765625,0.00244140625,2.5,10
ISO.60,0.0390625,0.009765625,2.5,0.00244140625,10,0.15625,0.625,0.15625,10,2.5,0.009765625,0.00244140625,0.0390625,0.625
ISO.61,0.15625,0.0390625,2.5,0.009765625,10,0.625,0.00244140625,0.00244140625,10,0.0390625,0.625,0.15625,0.009765625,2.5
ISO.63,0.15625,0.0390625,2.5,10,0.00244140625,0.625,0.009765625,10,0.009765625,0.0390625,0.625,2.5,0.15625,0.00244140625
ISO.68,0.009765625,0.625,0.00244140625,10,0.0390625,2.5,0.15625,0.625,0.00244140625,0.0390625,0.009765625,10,2.5,0.15625
ISO.70,0.0390625,0.15625,10,2.5,0.00244140625,0.625,0.009765625,0.625,2.5,0.0390625,0.009765625,0.15625,0.00244140625,10
ISO.74,10,0.00244140625,2.5,0.15625,0.0390625,0.009765625,0.625,2.5,0.15625,0.00244140625,0.0390625,0.625,10,0.009765625
ISO.79,0.625,10,0.15625,0.009765625,2.5,0.0390625,0.00244140625,0.15625,0.00244140625,0.0390625,2.5,0.625,10,0.009765625
ISO.82,10,2.5,0.0390625,0.625,0.00244140625,0.009765625,0.15625,10,2.5,0.009765625,0.00244140625,0.0390625,0.625,0.15625
ISO.86,0.0390625,2.5,0.00244140625,0.009765625,0.15625,10,0.625,2.5,10,0.009765625,0.00244140625,0.625,0.0390625,0.15625
ISO.88,0.0390625,0.009765625,10,0.625,0.00244140625,2.5,0.15625,0.0390625,0.15625,2.5,0.625,10,0.009765625,0.00244140625
ISO.90,0.625,0.009765625,2.5,0.00244140625,0.15625,10,0.0390625,0.009765625,2.5,0.15625,0.00244140625,10,0.625,0.0390625
ISO.91,2.5,0.15625,10,0.0390625,0.009765625,0.625,0.00244140625,0.00244140625,10,2.5,0.15625,0.625,0.0390625,0.009765625
ISO.92,0.0390625,0.00244140625,10,0.15625,2.5,0.009765625,0.625,0.009765625,0.0390625,0.625,10,0.15625,2.5,0.00244140625
ISO.93,0.15625,0.0390625,0.00244140625,10,2.5,0.625,0.009765625,0.00244140625,0.625,0.009765625,2.5,0.15625,10,0.0390625
ISO.96,2.5,0.625,0.00244140625,0.15625,0.0390625,0.009765625,10,0.00244140625,0.0390625,0.15625,0.625,2.5,10,0.009765625
ISO.97,0.00244140625,0.15625,0.0390625,10,0.625,2.5,0.009765625,0.009765625,0.00244140625,10,2.5,0.0390625,0.625,0.15625
ISO.98,0.00244140625,0.0390625,0.625,2.5,0.15625,10,0.009765625,0.009765625,0.625,0.00244140625,2.5,10,0.15625,0.0390625
